sha,date,subject,src_files,n_later_commits,seed_ctx_syms,seed_crude_syms,later_ctx_syms,file_hit,ctx_hit,crude_hit,ctx_hit_730,overlap_ctx
142c02c65dca,2026-01-24,[FIRRTL] Fix LowerDomains for multi-use wires,lib/Dialect/FIRRTL/Transforms/LowerDomains.cpp,10,1,7,3,1,1,1,1,lowerModule
380a44a69243,2026-01-17,[FIRRTL][InferResets] Fix reset domain inference for multiple top-level modules (#9464),lib/Dialect/FIRRTL/Transforms/InferResets.cpp,10,1,9,17,1,1,1,1,buildDomains
242b4a2959dc,2026-01-12,[LLHD] Fix multiply-driven signals being hoisted incorrectly (#9421),lib/Dialect/LLHD/Transforms/HoistSignals.cpp,3,1,13,3,1,0,1,0,
9fe788f13100,2026-01-06,Fix isSeqMem() check to allow externalization of memories with read-/write-latency >= 1 (#,include/circt/Dialect/FIRRTL/FIRRTLOps.h,1,1,0,1,1,0,0,0,
b79ae60f6c43,2025-12-29,[FIRRTL] Fix LowerSignatures to work with Domains,lib/Dialect/FIRRTL/Transforms/LowerSignatures.cpp,3,1,5,2,1,0,1,0,
db06bf66d7f6,2025-12-27,[FIRRTL] Fix LowerTypes so it works with Domains,lib/Dialect/FIRRTL/Transforms/LowerTypes.cpp,5,2,16,5,1,1,1,1,visitDecl
a0f3eb4086bc,2025-12-16,[LLHD] Fix HoistSignals with non-uniform drive delays (#9349),lib/Dialect/LLHD/Transforms/HoistSignals.cpp,4,1,4,4,1,1,1,1,hoistDrives
394cc2beb238,2025-12-15,[ESI][Runtime] Fix integration test,lib/Dialect/ESI/runtime/python/esiaccel/esiCppAccel.cpp,10,1,6,1,1,1,1,1,NB_MODULE
ad277c6bdbff,2025-12-11,[FIRRTL] Fix Dedup issue caused by name shadowing (#9336),lib/Dialect/FIRRTL/Transforms/Dedup.cpp,8,1,0,6,1,1,0,1,DedupPass
bf970671340c,2025-12-05,[ExportVerilog] Fix union emission error,lib/Conversion/ExportVerilog/ExportVerilog.cpp,22,1,0,31,1,1,0,1,getTypeDims
3777d1550908,2025-12-02,[HW] Fix array_create and struct_create folding with non-integer attributes.,lib/Dialect/HW/HWOps.cpp,11,1,2,15,1,1,1,1,fold
