sha,date,test_file,lang,entry_tool,reducibility,lead_not,pipe,pct_t,pct_S,pct_brace,split_file,split_input_file,verify_diagnostics,shell_and,redirect,run_line
bcc1685cdd20,2026-04-21,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir,.mlir,circt-opt,direct,0,0,1,0,0,0,0,0,0,0,circt-opt --llhd-mem2reg %t.1.mlir -o /dev/null
bcc1685cdd20,2026-04-21,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir,.mlir,circt-opt,direct,0,0,1,0,0,0,0,0,0,0,circt-opt --llhd-mem2reg %t.2.mlir -o /dev/null
bcc1685cdd20,2026-04-21,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir,.mlir,circt-opt,direct,0,0,1,0,0,0,0,0,0,0,circt-opt --llhd-mem2reg %t.3.mlir -o /dev/null
bcc1685cdd20,2026-04-21,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir,.mlir,circt-opt,direct,0,0,1,0,0,0,0,0,0,0,circt-opt --llhd-mem2reg %t.4.mlir -o /dev/null
bcc1685cdd20,2026-04-21,test/Dialect/LLHD/Transforms/mem2reg.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt --llhd-mem2reg %s | FileCheck %s
681992b3a872,2026-04-17,test/Dialect/Seq/firreg.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,1,0,0,"circt-opt %s -verify-diagnostics --lower-seq-to-sv | FileCheck %s --check-prefixes=CHECK,COMMON,RANDOM"
681992b3a872,2026-04-17,test/Dialect/Seq/firreg.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,1,0,0,"circt-opt %s -verify-diagnostics --pass-pipeline=""builtin.module(lower-seq-to-sv{disable-reg-randomization})"" | FileCheck %s --check-prefixes=COMMON,DISABLED"
681992b3a872,2026-04-17,test/Dialect/Seq/firreg.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,1,0,0,"circt-opt %s -verify-diagnostics --pass-pipeline=""builtin.module(lower-seq-to-sv{emit-separate-always-blocks})"" | FileCheck %s --check-prefixes=SEPARATE"
6a2571d0a6c4,2026-04-16,test/Dialect/Synth/functional-reduction.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt %s --synth-functional-reduction=test-transformation | FileCheck %s
02bb5593a1fc,2026-04-14,test/Dialect/Synth/lower-word-to-bits.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt %s --synth-lower-word-to-bits | FileCheck %s
1ccf9cf310cb,2026-04-09,test/Dialect/OM/round-trip.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,1,0,0,circt-opt %s -verify-diagnostics --mlir-print-local-scope --mlir-print-debuginfo | circt-opt --mlir-print-local-scope --mlir-print-debuginfo -verify-diagnostics | FileCheck %s
a4a4f74118eb,2026-04-06,test/Dialect/FIRRTL/infer-domains-infer-all.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt -pass-pipeline='builtin.module(firrtl.circuit(firrtl-infer-domains{mode=infer-all}))' %s | FileCheck %s
2867b37b5415,2026-04-06,test/Dialect/FIRRTL/flatten-memory.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt -pass-pipeline='builtin.module(firrtl.circuit(firrtl.module(firrtl-flatten-memory)))' %s | FileCheck  %s
2867b37b5415,2026-04-06,test/firtool/memoryLowering.fir,.fir,firtool,lift-firtool,0,1,0,0,0,0,1,0,0,0,"firtool %s -repl-seq-mem -repl-seq-mem-file=""test.conf"" -split-input-file |  FileCheck %s"
4df5007fbcf2,2026-03-30,test/Dialect/FIRRTL/lower-classes.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt -firrtl-lower-classes %s | FileCheck %s
738d5e09880f,2026-03-30,test/Dialect/Synth/resource.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,"circt-opt --synth-print-resource-usage-analysis='output-file=""-""' %s | FileCheck %s"
738d5e09880f,2026-03-30,test/Dialect/Synth/resource.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,"circt-opt --synth-print-resource-usage-analysis='top-module-name=top output-file=""-"" emit-json=true' %s | FileCheck %s --check-prefix=JSON"
738d5e09880f,2026-03-30,test/Dialect/Synth/resource.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,"circt-opt --synth-print-resource-usage-analysis='top-module-name=nested output-file=""-"" emit-json=true' %s | FileCheck %s --check-prefix=JSON-NESTED"
b15ee99dbe58,2026-03-27,test/Conversion/ImportVerilog/basic.sv,.sv,circt-translate,lift-circt-verilog,0,1,0,0,0,0,0,0,0,0,circt-translate --import-verilog %s | FileCheck %s
b15ee99dbe58,2026-03-27,test/Conversion/ImportVerilog/basic.sv,.sv,circt-verilog,lift-circt-verilog,0,0,0,0,0,0,0,0,0,0,circt-verilog --ir-moore %s
838a8bb29106,2026-03-27,test/Conversion/CoreToFSM/errors.mlir,.mlir,circt-opt,direct,0,0,0,0,0,0,1,1,0,0,circt-opt -convert-core-to-fsm -verify-diagnostics -split-input-file %s
c9b4ed95782c,2026-03-27,test/Dialect/FIRRTL/parse-errors.fir,.fir,circt-translate,lift-firtool,0,0,0,0,0,0,1,1,0,0,circt-translate -import-firrtl -verify-diagnostics --split-input-file %s
c14279dcbf73,2026-03-26,test/Dialect/FIRRTL/Reduction/module-port-pruner.mlir,.mlir,circt-reduce,direct,0,1,0,0,0,0,0,0,0,0,circt-reduce %s --test /usr/bin/env --test-arg true --keep-best=0 --include module-port-pruner | FileCheck %s
60a9ebf59100,2026-03-24,test/Dialect/FIRRTL/infer-domains-infer-all.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt -pass-pipeline='builtin.module(firrtl.circuit(firrtl-infer-domains{mode=infer-all}))' %s | FileCheck %s
60a9ebf59100,2026-03-24,test/Dialect/FIRRTL/infer-domains-infer.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt -pass-pipeline='builtin.module(firrtl.circuit(firrtl-infer-domains{mode=infer}))' %s | FileCheck %s
c80cfb9e2967,2026-03-24,test/Dialect/FIRRTL/lower-open-aggs.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,1,0,0,0,"circt-opt --pass-pipeline=""builtin.module(firrtl.circuit(firrtl-lower-open-aggs))"" %s --split-input-file | FileCheck %s --implicit-check-not=openvector --implicit-check-not=openbundle --implicit-check-not=opensub"
88d9a5ad7a3a,2026-03-22,test/Dialect/SV/sv-trace-iverilog-errors.mlir,.mlir,circt-opt,direct,0,0,0,0,0,0,0,1,0,0,circt-opt --sv-trace-iverilog %s -verify-diagnostics
b59eca8f1e7b,2026-03-22,test/Dialect/HW/canonicalization.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt -canonicalize='top-down=true region-simplify=aggressive' %s | FileCheck %s
72acea92c1d1,2026-03-22,test/Dialect/Moore/canonicalizers.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt --canonicalize %s | FileCheck %s
1625085798f3,2026-03-22,test/Conversion/ImportVerilog/errors.sv,.sv,circt-translate,lift-circt-verilog,0,0,0,0,0,0,1,1,0,0,circt-translate --import-verilog --verify-diagnostics --split-input-file %s
9445def95048,2026-03-22,test/Conversion/ImportVerilog/errors.sv,.sv,circt-translate,lift-circt-verilog,0,0,0,0,0,0,1,1,0,0,circt-translate --import-verilog --verify-diagnostics --split-input-file %s
b19078499420,2026-03-22,test/Conversion/MooreToCore/basic.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,1,0,0,circt-opt %s --convert-moore-to-core --verify-diagnostics | FileCheck %s
c3e2100d37ca,2026-03-21,test/Conversion/MooreToCore/errors.mlir,.mlir,circt-opt,direct,0,0,0,0,0,0,1,1,0,0,circt-opt %s --convert-moore-to-core --split-input-file --verify-diagnostics
b3b407b37bb2,2026-03-21,test/Conversion/MooreToCore/errors.mlir,.mlir,circt-opt,direct,0,0,0,0,0,0,1,1,0,0,circt-opt %s --convert-moore-to-core --split-input-file --verify-diagnostics
3ef31bc4848a,2026-03-21,test/Conversion/ImportVerilog/errors.sv,.sv,circt-translate,lift-circt-verilog,0,0,0,0,0,0,1,1,0,0,circt-translate --import-verilog --verify-diagnostics --split-input-file %s
d636fb5d3f01,2026-03-21,test/Conversion/ImportVerilog/basic.sv,.sv,circt-translate,lift-circt-verilog,0,1,0,0,0,0,0,0,0,0,circt-translate --import-verilog %s | FileCheck %s
d636fb5d3f01,2026-03-21,test/Conversion/ImportVerilog/basic.sv,.sv,circt-verilog,lift-circt-verilog,0,0,0,0,0,0,0,0,0,0,circt-verilog --ir-moore %s
564e07083c52,2026-03-21,test/Dialect/Sim/dynamic-strings.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt %s --canonicalize | FileCheck --strict-whitespace %s
246aa011e7b9,2026-03-20,test/Conversion/ImportVerilog/errors.sv,.sv,circt-translate,lift-circt-verilog,0,0,0,0,0,0,1,1,0,0,circt-translate --import-verilog --verify-diagnostics --split-input-file %s
